book_id,title,authors,average_rating,sentiment_score,sentiment_label
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,-0.4588,neutral
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",4.44,0.0,neutral
41865,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,0.0,neutral
2657,To Kill a Mockingbird,Harper Lee,4.25,-0.6908,negative
4671,The Great Gatsby,F. Scott Fitzgerald,3.89,0.6249,positive
11870085,The Fault in Our Stars,John Green,4.26,-0.4019,neutral
5907,The Hobbit,J.R.R. Tolkien,4.25,0.0,neutral
5107,The Catcher in the Rye,J.D. Salinger,3.79,0.0,neutral
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,3.85,0.0,neutral
1885,Pride and Prejudice,Jane Austen,4.24,-0.2263,neutral
77203,The Kite Runner,Khaled Hosseini,4.26,0.0,neutral
13335037,"Divergent (Divergent, #1)",Veronica Roth,4.24,0.0,neutral
5470,1984,"George Orwell, Erich Fromm, Celâl Üster",4.14,0.0,neutral
7613,Animal Farm,George Orwell,3.87,0.0,neutral
48855,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,0.0,neutral
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",4.11,0.0,neutral
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,-0.5267,negative
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,-0.5423,negative
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.34,0.0,neutral
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.03,-0.25,neutral
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",4.46,0.0,neutral
12232938,The Lovely Bones,Alice Sebold,3.77,0.5859,positive
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",4.37,0.0,neutral
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,-0.34,neutral
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",4.61,0.0,neutral
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.79,0.0,neutral
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",4.54,0.0,neutral
7624,Lord of the Flies,William Golding,3.64,0.0,neutral
18135,Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,0.0,neutral
8442457,Gone Girl,Gillian Flynn,4.03,0.0,neutral
4667024,The Help,Kathryn Stockett,4.45,0.4019,neutral
890,Of Mice and Men,John Steinbeck,3.84,0.0,neutral
930,Memoirs of a Geisha,Arthur Golden,4.08,0.0,neutral
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,0.0516,neutral
865,The Alchemist,"Paulo Coelho, Alan R. Clarke",3.82,0.0,neutral
3636,"The Giver (The Giver, #1)",Lois Lowry,4.12,0.5859,positive
100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.19,-0.3612,neutral
14050,The Time Traveler's Wife,Audrey Niffenegger,3.95,0.0,neutral
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,-0.34,neutral
19501,"Eat, Pray, Love",Elizabeth Gilbert,3.51,0.7579,positive
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.23,-0.5267,negative
1934,"Little Women (Little Women, #1)",Louisa May Alcott,4.04,0.0,neutral
10210,Jane Eyre,"Charlotte Brontë, Michael Mason",4.1,0.0,neutral
15931,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.06,0.0,neutral
4214,Life of Pi,Yann Martel,3.88,0.0,neutral
43641,Water for Elephants,Sara Gruen,4.07,0.0,neutral
19063,The Book Thief,Markus Zusak,4.36,-0.5267,negative
4381,Fahrenheit 451,Ray Bradbury,3.97,0.0,neutral
49041,"New Moon (Twilight, #2)",Stephenie Meyer,3.52,0.0,neutral
30119,Where the Sidewalk Ends,Shel Silverstein,4.29,0.0,neutral
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.12,0.0,neutral
428263,"Eclipse (Twilight, #3)",Stephenie Meyer,3.69,0.0,neutral
113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.86,0.0,neutral
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.2,0.0,neutral
5129,Brave New World,Aldous Huxley,3.97,0.5267,positive
1162543,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,3.7,0.0,neutral
37435,The Secret Life of Bees,Sue Monk Kidd,4.01,0.0,neutral
2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",3.8,0.34,neutral
24178,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",4.15,0.25,neutral
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.85,0.3182,neutral
22557272,The Girl on the Train,Paula Hawkins,3.88,0.0,neutral
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,3.94,0.0,neutral
6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn",3.82,0.0,neutral
10917,My Sister's Keeper,Jodi Picoult,4.06,0.0,neutral
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.06,0.0,neutral
18405,Gone with the Wind,Margaret Mitchell,4.28,0.0,neutral
128029,A Thousand Splendid Suns,Khaled Hosseini,4.34,0.5859,positive
22628,The Perks of Being a Wallflower,Stephen Chbosky,4.21,0.0,neutral
11735983,"Insurgent (Divergent, #2)",Veronica Roth,4.07,0.0,neutral
